"Date","CUUR0300SA0L1E"
1977-12-01,62.1
1978-01-01,NA
1978-02-01,62.7
1978-03-01,NA
1978-04-01,63.6
1978-05-01,NA
1978-06-01,64.8
1978-07-01,NA
1978-08-01,65.8
1978-09-01,NA
1978-10-01,67
1978-11-01,NA
1978-12-01,68
1979-01-01,NA
1979-02-01,68.7
1979-03-01,NA
1979-04-01,69.9
1979-05-01,NA
1979-06-01,71.3
1979-07-01,NA
1979-08-01,72.5
1979-09-01,NA
1979-10-01,73.9
1979-11-01,NA
1979-12-01,75.3
1980-01-01,NA
1980-02-01,77
1980-03-01,NA
1980-04-01,79.1
1980-05-01,NA
1980-06-01,80.8
1980-07-01,NA
1980-08-01,80.8
1980-09-01,NA
1980-10-01,82.6
1980-11-01,NA
1980-12-01,84.3
1981-01-01,NA
1981-02-01,85.7
1981-03-01,NA
1981-04-01,86.8
1981-05-01,NA
1981-06-01,88.6
1981-07-01,NA
1981-08-01,90.3
1981-09-01,NA
1981-10-01,91.9
1981-11-01,NA
1981-12-01,93.6
1982-01-01,NA
1982-02-01,94.3
1982-03-01,NA
1982-04-01,94.4
1982-05-01,NA
1982-06-01,96.3
1982-07-01,NA
1982-08-01,96.9
1982-09-01,NA
1982-10-01,97.6
1982-11-01,NA
1982-12-01,97.5
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,98.6
1983-05-01,NA
1983-06-01,99.2
1983-07-01,NA
1983-08-01,100.1
1983-09-01,NA
1983-10-01,101.3
1983-11-01,NA
1983-12-01,101.9
1984-01-01,NA
1984-02-01,102.5
1984-03-01,NA
1984-04-01,103.5
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,104.7
1984-09-01,NA
1984-10-01,105.9
1984-11-01,NA
1984-12-01,106.6
1985-01-01,NA
1985-02-01,107.1
1985-03-01,NA
1985-04-01,107.6
1985-05-01,NA
1985-06-01,108.3
1985-07-01,NA
1985-08-01,108.8
1985-09-01,NA
1985-10-01,110.1
1985-11-01,NA
1985-12-01,110.4
1986-01-01,NA
1986-02-01,111
1986-03-01,NA
1986-04-01,111.8
1986-05-01,NA
1986-06-01,112.3
1986-07-01,NA
1986-08-01,112.5
1986-09-01,NA
1986-10-01,113.8
1986-11-01,NA
1986-12-01,114.3
1987-01-01,114.4
1987-02-01,114.7
1987-03-01,115.2
1987-04-01,115.7
1987-05-01,116
1987-06-01,116.1
1987-07-01,116.3
1987-08-01,116.6
1987-09-01,117.3
1987-10-01,117.9
1987-11-01,118.4
1987-12-01,118.3
1988-01-01,118.5
1988-02-01,118.8
1988-03-01,119.4
1988-04-01,120.1
1988-05-01,120.2
1988-06-01,120.5
1988-07-01,120.8
1988-08-01,120.9
1988-09-01,121.8
1988-10-01,122.6
1988-11-01,122.9
1988-12-01,123.2
1989-01-01,123.4
1989-02-01,123.9
1989-03-01,124.4
1989-04-01,125
1989-05-01,125.2
1989-06-01,125.4
1989-07-01,125.7
1989-08-01,126.1
1989-09-01,126.6
1989-10-01,127.4
1989-11-01,127.7
1989-12-01,127.9
1990-01-01,128.3
1990-02-01,129.4
1990-03-01,130.2
1990-04-01,130.5
1990-05-01,130.7
1990-06-01,131.4
1990-07-01,132
1990-08-01,132.6
1990-09-01,133
1990-10-01,133.8
1990-11-01,134.3
1990-12-01,134.4
1991-01-01,135.3
1991-02-01,136.4
1991-03-01,136.9
1991-04-01,137.1
1991-05-01,137.3
1991-06-01,137.4
1991-07-01,137.7
1991-08-01,138.2
1991-09-01,138.8
1991-10-01,139.5
1991-11-01,139.9
1991-12-01,139.9
1992-01-01,140
1992-02-01,140.9
1992-03-01,141.6
1992-04-01,142
1992-05-01,142.3
1992-06-01,142.5
1992-07-01,142.6
1992-08-01,142.7
1992-09-01,143
1992-10-01,144
1992-11-01,144.6
1992-12-01,144.5
1993-01-01,145
1993-02-01,146.1
1993-03-01,146.7
1993-04-01,147.2
1993-05-01,147.4
1993-06-01,147.4
1993-07-01,147.5
1993-08-01,148.3
1993-09-01,148.4
1993-10-01,149.1
1993-11-01,149.5
1993-12-01,149.5
1994-01-01,149.8
1994-02-01,150.4
1994-03-01,151.4
1994-04-01,151.7
1994-05-01,152
1994-06-01,152.1
1994-07-01,152.1
1994-08-01,152.4
1994-09-01,152.9
1994-10-01,153.5
1994-11-01,153.7
1994-12-01,153.7
1995-01-01,154.4
1995-02-01,155.4
1995-03-01,156.4
1995-04-01,156.8
1995-05-01,156.7
1995-06-01,156.7
1995-07-01,156.9
1995-08-01,157.5
1995-09-01,157.8
1995-10-01,158.7
1995-11-01,159
1995-12-01,158.8
1996-01-01,159.4
1996-02-01,160
1996-03-01,160.8
1996-04-01,161.1
1996-05-01,161.3
1996-06-01,161.3
1996-07-01,161.4
1996-08-01,161.4
1996-09-01,161.8
1996-10-01,162.5
1996-11-01,162.8
1996-12-01,162.6
1997-01-01,163.2
1997-02-01,163.8
1997-03-01,164.5
1997-04-01,165
1997-05-01,164.9
1997-06-01,164.8
1997-07-01,164.8
1997-08-01,164.7
1997-09-01,165
1997-10-01,165.8
1997-11-01,166.1
1997-12-01,165.9
1998-01-01,166.5
1998-02-01,167.2
1998-03-01,167.9
1998-04-01,168.3
1998-05-01,168.4
1998-06-01,168.3
1998-07-01,168.5
1998-08-01,168.9
1998-09-01,169.1
1998-10-01,169.5
1998-11-01,169.7
1998-12-01,169.9
1999-01-01,170.2
1999-02-01,170.5
1999-03-01,171.1
1999-04-01,171.6
1999-05-01,171.4
1999-06-01,171.3
1999-07-01,171.5
1999-08-01,171.5
1999-09-01,172
1999-10-01,172.5
1999-11-01,172.6
1999-12-01,172.4
2000-01-01,173
2000-02-01,173.5
2000-03-01,174.7
2000-04-01,175.1
2000-05-01,175
2000-06-01,175
2000-07-01,175.3
2000-08-01,175.5
2000-09-01,175.8
2000-10-01,176.1
2000-11-01,176.5
2000-12-01,176.3
2001-01-01,176.9
2001-02-01,177.8
2001-03-01,178.7
2001-04-01,179
2001-05-01,178.7
2001-06-01,179
2001-07-01,179.1
2001-08-01,179.4
2001-09-01,179.8
2001-10-01,180.4
2001-11-01,180.6
2001-12-01,180.3
2002-01-01,180.5
2002-02-01,181.2
2002-03-01,181.8
2002-04-01,182.3
2002-05-01,182.4
2002-06-01,182.4
2002-07-01,182.4
2002-08-01,182.8
2002-09-01,183.1
2002-10-01,184
2002-11-01,184.3
2002-12-01,184
2003-01-01,184
2003-02-01,184.8
2003-03-01,185.4
2003-04-01,185.5
2003-05-01,185.4
2003-06-01,185.2
2003-07-01,185.1
2003-08-01,185.2
2003-09-01,185.4
2003-10-01,186
2003-11-01,185.7
2003-12-01,185.4
2004-01-01,185.5
2004-02-01,186.3
2004-03-01,187.3
2004-04-01,187.9
2004-05-01,188
2004-06-01,188.1
2004-07-01,188
2004-08-01,188.1
2004-09-01,188.4
2004-10-01,189.1
2004-11-01,189.2
2004-12-01,189.2
2005-01-01,189.7
2005-02-01,190.7
2005-03-01,191.6
2005-04-01,191.9
2005-05-01,192.1
2005-06-01,192.2
2005-07-01,192
2005-08-01,191.8
2005-09-01,192.1
2005-10-01,192.7
2005-11-01,193.1
2005-12-01,193.4
2006-01-01,193.7
2006-02-01,194.6
2006-03-01,195.7
2006-04-01,196.2
2006-05-01,196.5
2006-06-01,196.9
2006-07-01,197.1
2006-08-01,197.3
2006-09-01,197.8
2006-10-01,198.5
2006-11-01,198.3
2006-12-01,198.3
2007-01-01,198.97
2007-02-01,200.01
2007-03-01,200.802
2007-04-01,201.317
2007-05-01,201.394
2007-06-01,201.743
2007-07-01,201.777
2007-08-01,201.947
2007-09-01,202.372
2007-10-01,203.196
2007-11-01,203.475
2007-12-01,203.652
2008-01-01,204.364
2008-02-01,204.972
2008-03-01,205.668
2008-04-01,205.977
2008-05-01,206.139
2008-06-01,206.567
2008-07-01,206.8
2008-08-01,207.182
2008-09-01,207.59
2008-10-01,207.759
2008-11-01,207.604
2008-12-01,207.137
2009-01-01,207.777
2009-02-01,208.532
2009-03-01,209.726
2009-04-01,210.296
2009-05-01,210.231
2009-06-01,210.652
2009-07-01,210.544
2009-08-01,210.414
2009-09-01,210.937
2009-10-01,211.677
2009-11-01,211.544
2009-12-01,211.281
2010-01-01,211.383
2010-02-01,211.842
2010-03-01,212.433
2010-04-01,212.424
2010-05-01,212.191
2010-06-01,212.323
2010-07-01,212.153
2010-08-01,212.422
2010-09-01,213.088
2010-10-01,213.359
2010-11-01,213.346
2010-12-01,213.055
2011-01-01,213.345
2011-02-01,214.278
2011-03-01,215.028
2011-04-01,215.481
2011-05-01,215.797
2011-06-01,215.935
2011-07-01,216.131
2011-08-01,216.946
2011-09-01,217.224
2011-10-01,217.859
2011-11-01,218.239
2011-12-01,218.193
2012-01-01,218.533
2012-02-01,219.214
2012-03-01,220.157
2012-04-01,220.656
2012-05-01,220.842
2012-06-01,221.168
2012-07-01,221.077
2012-08-01,221.072
2012-09-01,221.714
2012-10-01,222.271
2012-11-01,222.453
2012-12-01,222.379
2013-01-01,222.953
2013-02-01,223.8
2013-03-01,224.48
2013-04-01,224.596
2013-05-01,224.665
2013-06-01,224.958
2013-07-01,225.113
2013-08-01,225.448
2013-09-01,225.964
2013-10-01,226.501
2013-11-01,226.45
2013-12-01,226.548
2014-01-01,226.811
2014-02-01,227.623
2014-03-01,228.623
2014-04-01,229.092
2014-05-01,229.442
2014-06-01,229.503
2014-07-01,229.353
2014-08-01,229.61
2014-09-01,230.096
2014-10-01,230.79
2014-11-01,230.855
2014-12-01,230.362
2015-01-01,230.483
2015-02-01,231.318
2015-03-01,232.551
2015-04-01,233.346
2015-05-01,233.433
2015-06-01,233.667
2015-07-01,233.509
2015-08-01,233.821
2015-09-01,234.53
2015-10-01,235.281
2015-11-01,235.362
2015-12-01,235.053
2016-01-01,235.655
2016-02-01,236.605
2016-03-01,237.529
2016-04-01,238.141
2016-05-01,238.541
2016-06-01,238.813
2016-07-01,238.614
2016-08-01,239.128
2016-09-01,239.36
2016-10-01,239.956
2016-11-01,240.109
2016-12-01,240.074
2017-01-01,240.848
2017-02-01,241.776
2017-03-01,241.945
2017-04-01,241.993
2017-05-01,242.182
2017-06-01,242.601
2017-07-01,242.224
2017-08-01,242.892
2017-09-01,243.392
2017-10-01,244.024
2017-11-01,243.99
2017-12-01,243.786
2018-01-01,244.776
2018-02-01,246.177
2018-03-01,247.101
2018-04-01,247.394
2018-05-01,247.583
2018-06-01,247.774
2018-07-01,248.016
2018-08-01,247.642
2018-09-01,247.871
2018-10-01,248.518
2018-11-01,248.971
2018-12-01,248.628
2019-01-01,249.515
2019-02-01,250.666
2019-03-01,251.283
2019-04-01,251.812
2019-05-01,251.666
2019-06-01,252.205
2019-07-01,252.511
2019-08-01,252.968
2019-09-01,252.974
2019-10-01,253.668
2019-11-01,253.987
2019-12-01,253.692
2020-01-01,254.372
2020-02-01,255.494
2020-03-01,255.803
2020-04-01,254.422
2020-05-01,253.765
2020-06-01,254.164
2020-07-01,255.588
2020-08-01,257.015
2020-09-01,257.45
2020-10-01,258.029
2020-11-01,258.059
2020-12-01,258.129
2021-01-01,258.89
2021-02-01,259.65
2021-03-01,260.589
2021-04-01,262.756
2021-05-01,264.734
2021-06-01,266.926
2021-07-01,267.966
2021-08-01,268.621
2021-09-01,269.122
2021-10-01,271.048
2021-11-01,272.156
2021-12-01,273.519
2022-01-01,275.665
2022-02-01,277.875
2022-03-01,279.164
2022-04-01,280.54
2022-05-01,282.559
2022-06-01,284.799
2022-07-01,286.058
2022-08-01,287.715
2022-09-01,289.147
2022-10-01,290.228
2022-11-01,290.867
2022-12-01,291.382
2023-01-01,293.029
2023-02-01,295.124
2023-03-01,296.801
2023-04-01,298.27
2023-05-01,299.583
2023-06-01,300.336
2023-07-01,300.48
2023-08-01,301.484
2023-09-01,302.457
2023-10-01,303.174
2023-11-01,303.632
